,DATE (LT),REGION,COUNTRY,INCIDENT TYPE,VESSEL TYPE,MAERSK?,VESSEL ACTIVITY LOCATION,LAT,LONG,TIME OF DAY,ATTACKS,ATTACK SUCCESS,YEAR,MONTH,WEEK,DAY,WEEKDAY,YEAR_MONTH
36,2015-01-30,South Asia,India,Suspicious activity at sea,Merchant vessel,0,Off shore,7.9173,77.1186333333333,Unknown,1,0,2015,1,5,30,4,2015-01
37,2015-01-30,South East Asia,Indonesia,Hijacking at sea,Product tanker,0,Off shore,1.6092625,125.299941944444,Unknown,1,1,2015,1,5,30,4,2015-01
38,2015-01-31,West Africa,Benin,Hijacking at sea,Unknown vessel type,0,Off shore,4.7,2.5,Unknown,1,1,2015,1,5,31,5,2015-01
39,2015-01-31,West Africa,Togo,Hijacking at sea,Unknown vessel type,0,Off shore,4.225,1.225,Evening,1,1,2015,1,5,31,5,2015-01
40,2015-01-31,South East Asia,Indonesia,Armed robbery at sea,Bulk carrier,0,Off shore,1.15016666666667,103.45100000000001,Night,1,1,2015,1,5,31,5,2015-01
41,2015-01-31,West Africa,Togo,Hijacking at sea,Unknown vessel type,0,Off shore,4.45,1.9,Afternoon,1,1,2015,1,5,31,5,2015-01
42,2015-01-31,South East Asia,Indonesia,Armed robbery at sea,Bulk carrier,0,Off shore,1.15666666666667,103.45333333333299,Night,1,1,2015,1,5,31,5,2015-01
43,2015-01-31,South East Asia,Indonesia,"Failed attack, robbery",Bulk carrier,0,Anchorage,3.9166666666666696,98.7666666666667,Unknown,1,0,2015,1,5,31,5,2015-01
44,2015-02-01,Americas,Honduras,Armed robbery at sea,Other,0,Off shore,15.9659061111111,-86.03384388888891,Unknown,1,1,2015,2,5,1,6,2015-02
45,2015-02-01,West Africa,Ghana,Hijacking at sea,Unknown vessel type,0,Off shore,3.8916666666666697,0.0633333333333333,Morning,1,1,2015,2,5,1,6,2015-02
46,2015-02-01,West Africa,Ghana,Hijacking at sea,Unknown vessel type,0,Off shore,3.77833333333333,-0.3666666666666671,Afternoon,1,1,2015,2,5,1,6,2015-02
47,2015-02-01,West Africa,Nigeria,Hijacking at sea,Fishing vessel,0,Off shore,5.20083333333333,2.384,Afternoon,1,1,2015,2,5,1,6,2015-02
